Date,TIME,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME
11-01-2016 00:00,09:15:00,1279.02,1283.94,1269.01,1271.75,120,4157
11-01-2016 00:00,09:20:00,1272.8,1275.14,1271.05,1271.85,82,1789
11-01-2016 00:00,09:25:00,1274.34,1277.37,1273.05,1273.05,98,1468
11-01-2016 00:00,09:30:00,1273.05,1276.33,1271,1274.94,78,2297
11-01-2016 00:00,09:35:00,1273.99,1274.14,1271.25,1273.34,54,1048
11-01-2016 00:00,09:40:00,1273.14,1273.34,1272,1273.24,41,414
11-01-2016 00:00,09:45:00,1273,1275.98,1273,1273.84,65,1788
11-01-2016 00:00,09:50:00,1272.25,1275.33,1272.1,1274.24,59,1394
11-01-2016 00:00,09:55:00,1273.05,1274.24,1272.35,1273.94,65,1015
11-01-2016 00:00,10:00:00,1273.94,1275.98,1273.24,1275.88,54,533
11-01-2016 00:00,10:05:00,1275.09,1276.98,1275.04,1276.48,54,1029
11-01-2016 00:00,10:10:00,1276.48,1276.93,1273.99,1274.69,40,407
11-01-2016 00:00,10:15:00,1275.38,1275.98,1274.34,1275.38,48,951
11-01-2016 00:00,10:20:00,1275.33,1275.48,1274.19,1274.44,42,1541
11-01-2016 00:00,10:25:00,1273.99,1277.97,1273.99,1274.99,49,690
11-01-2016 00:00,10:30:00,1275.48,1275.98,1271.45,1271.45,162,2717
11-01-2016 00:00,10:35:00,1271,1271.35,1266.23,1267.22,176,8746
11-01-2016 00:00,10:40:00,1268.02,1271.45,1267.22,1269.66,81,3670
11-01-2016 00:00,10:45:00,1270.01,1270.95,1267.67,1268.96,88,2181
11-01-2016 00:00,10:50:00,1268.91,1270.81,1267.77,1268.07,45,568
11-01-2016 00:00,10:55:00,1268.62,1270.51,1267.87,1267.92,40,1568
11-01-2016 00:00,11:00:00,1269.06,1273.89,1268.02,1271.35,70,4111
11-01-2016 00:00,11:05:00,1272,1273.99,1271.1,1272,75,2500
11-01-2016 00:00,11:10:00,1271.2,1274.24,1268.86,1272,127,2018
11-01-2016 00:00,11:15:00,1269.21,1272.35,1269.16,1272.3,31,517
11-01-2016 00:00,11:20:00,1269.71,1272.15,1269.71,1272.15,40,677
11-01-2016 00:00,11:25:00,1273,1275.48,1273,1273.99,49,1860
11-01-2016 00:00,11:30:00,1274.09,1276.83,1273.99,1274.99,33,229
11-01-2016 00:00,11:35:00,1274.99,1281.95,1274.99,1279.27,125,4667
11-01-2016 00:00,11:40:00,1279.32,1281.41,1277.97,1280.16,72,1962
11-01-2016 00:00,11:45:00,1280.36,1281.36,1278.97,1279.76,42,893
11-01-2016 00:00,11:50:00,1279.86,1285.88,1279.86,1282,87,3413
11-01-2016 00:00,11:55:00,1281.95,1285.93,1281.7,1284.69,72,2767
11-01-2016 00:00,12:00:00,1284.84,1285.09,1280.11,1280.96,43,615
11-01-2016 00:00,12:05:00,1280.96,1280.96,1278.97,1279.17,42,1339
11-01-2016 00:00,12:10:00,1281.01,1281.01,1277.82,1277.87,36,1724
11-01-2016 00:00,12:15:00,1277.03,1278.82,1273.99,1275.98,65,3221
11-01-2016 00:00,12:20:00,1275.78,1279.91,1275.78,1278.97,39,1394
11-01-2016 00:00,12:25:00,1279.71,1279.71,1276.48,1276.48,30,787
11-01-2016 00:00,12:30:00,1277.57,1280.96,1277.28,1280.86,31,891
11-01-2016 00:00,12:35:00,1280.31,1281.9,1280.31,1281.65,22,392
11-01-2016 00:00,12:40:00,1281.95,1281.95,1280.96,1281.95,7,115
11-01-2016 00:00,12:45:00,1281.8,1281.95,1276.98,1278.97,112,4730
11-01-2016 00:00,12:50:00,1278.87,1280.16,1278.57,1280.16,103,4680
11-01-2016 00:00,12:55:00,1279.96,1281.26,1279.96,1281.26,25,420
11-01-2016 00:00,13:00:00,1280.46,1281.36,1280.46,1280.46,13,119
11-01-2016 00:00,13:05:00,1280.96,1281.46,1279.96,1281.31,21,730
11-01-2016 00:00,13:10:00,1281.31,1282.95,1280.81,1281.6,25,651
11-01-2016 00:00,13:15:00,1282.65,1283.1,1281.26,1281.51,15,94
11-01-2016 00:00,13:20:00,1282.75,1282.9,1281.01,1282.45,14,196
11-01-2016 00:00,13:25:00,1282.45,1282.45,1280.96,1281.16,18,352
11-01-2016 00:00,13:30:00,1281.16,1282.9,1280.96,1281.95,19,335
11-01-2016 00:00,13:35:00,1281.95,1282.9,1281.21,1281.65,23,252
11-01-2016 00:00,13:40:00,1281.36,1282.5,1281.21,1281.36,16,683
11-01-2016 00:00,13:45:00,1281.51,1283.55,1281.51,1282.1,17,774
11-01-2016 00:00,13:50:00,1281.31,1283.3,1281.26,1281.7,37,561
